SampleID;Index;Sample_Type;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Version;PlateID;QC_Warning;LOD;NPX;Normalization
Sample Control2;9;CONTROL;OID00503;P01135;TGF-alpha;0;Inflammation;v.3023;1362718174.csv;Pass;-0.81445000000000001;1.4029799999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00504;Q99616;MCP-4;0;Inflammation;v.3023;1362718174.csv;Pass;0.68388000000000004;12.426830000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00505;P51671;CCL11;0;Inflammation;v.3023;1362718174.csv;Pass;0.30747000000000002;7.39778;IPC Normalized
Sample Control2;9;CONTROL;OID00506;O43557;TNFSF14;0;Inflammation;v.3023;1362718174.csv;Pass;0.41994999999999999;2.7316199999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00507;Q9GZV9;FGF-23;0;Inflammation;v.3023;1362718174.csv;Pass;-1.63558;-0.41044999999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00508;Q13651;IL-10RA;0.21875;Inflammation;v.3023;1362718174.csv;Pass;0.32150000000000001;0.40760000000000002;IPC Normalized
Sample Control2;9;CONTROL;OID00509;P12034;FGF-5;0;Inflammation;v.3023;1362718174.csv;Pass;0.14621000000000001;0.94772999999999996;IPC Normalized
Sample Control2;9;CONTROL;OID00510;P03956;MMP-1;0;Inflammation;v.3023;1362718174.csv;Pass;0.64095999999999997;10.378119999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00511;P42702;LIF-R;0;Inflammation;v.3023;1362718174.csv;Pass;0.35558000000000001;2.5195599999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00512;Q9NSA1;FGF-21;0;Inflammation;v.3023;1362718174.csv;Pass;-0.16578000000000001;3.0332400000000002;IPC Normalized
Sample Control2;9;CONTROL;OID00513;Q99731;CCL19;0;Inflammation;v.3023;1362718174.csv;Pass;0.47216999999999998;6.6224999999999996;IPC Normalized
Sample Control2;9;CONTROL;OID00514;Q13261;IL-15RA;0;Inflammation;v.3023;1362718174.csv;Pass;-0.31757000000000002;0.90698999999999996;IPC Normalized
Sample Control2;9;CONTROL;OID00515;Q08334;IL-10RB;0;Inflammation;v.3023;1362718174.csv;Pass;0.44163000000000002;5.8023600000000002;IPC Normalized
Sample Control2;9;CONTROL;OID00516;Q8N6P7;IL-22 RA1;0.8125;Inflammation;v.3023;1362718174.csv;Pass;1.6571499999999999;0.62280999999999997;IPC Normalized
Sample Control2;9;CONTROL;OID00517;Q13478;IL-18R1;0;Inflammation;v.3023;1362718174.csv;Pass;0.38468999999999998;7.4640399999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00518;Q9NZQ7;PD-L1;0;Inflammation;v.3023;1362718174.csv;Pass;1.75787;4.5921200000000004;IPC Normalized
Sample Control2;9;CONTROL;OID00519;P01138;Beta-NGF;1;Inflammation;v.3023;1362718174.csv;Pass;-0.74827999999999995;-1.0662499999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00520;P42830;CXCL5;0;Inflammation;v.3023;1362718174.csv;Pass;0.26583000000000001;7.69794;IPC Normalized
Sample Control2;9;CONTROL;OID00521;O14788;TRANCE;0;Inflammation;v.3023;1362718174.csv;Pass;0.19420000000000001;2.9157899999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00522;P14210;HGF;0;Inflammation;v.3023;1362718174.csv;Pass;0.73489000000000004;7.6575300000000004;IPC Normalized
Sample Control2;9;CONTROL;OID00523;P29460;IL-12B;0;Inflammation;v.3023;1362718174.csv;Pass;0.50287999999999999;6.3315799999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00524;Q13007;IL-24;0.71875;Inflammation;v.3023;1362718174.csv;Pass;1.81105;1.67502;IPC Normalized
Sample Control2;9;CONTROL;OID00525;P35225;IL13;0.875;Inflammation;v.3023;1362718174.csv;Pass;0.84941999999999995;0.73850000000000005;IPC Normalized
Sample Control2;9;CONTROL;OID00526;Q5T4W7;ARTN;3.125E-2;Inflammation;v.3023;1362718174.csv;Pass;0.57828000000000002;0.93393000000000004;IPC Normalized
Sample Control2;9;CONTROL;OID00527;P09238;MMP-10;0;Inflammation;v.3023;1362718174.csv;Pass;0.51959;7.6424000000000003;IPC Normalized
Sample Control2;9;CONTROL;OID00528;P22301;IL10;0;Inflammation;v.3023;1362718174.csv;Pass;1.16238;2.99613;IPC Normalized
Sample Control2;9;CONTROL;OID05548;P01375;TNF;0;Inflammation;v.3023;1362718174.csv;Pass;0.23355000000000001;2.5078800000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00530;P55773;CCL23;0;Inflammation;v.3023;1362718174.csv;Pass;0.28276000000000001;9.03993;IPC Normalized
Sample Control2;9;CONTROL;OID00531;P06127;CD5;0;Inflammation;v.3023;1362718174.csv;Pass;3.7010000000000001E-2;5.1232800000000003;IPC Normalized
Sample Control2;9;CONTROL;OID00532;P10147;CCL3;0;Inflammation;v.3023;1362718174.csv;Pass;-3.092E-2;4.1800800000000002;IPC Normalized
Sample Control2;9;CONTROL;OID00533;P49771;Flt3L;0;Inflammation;v.3023;1362718174.csv;Pass;0.85358000000000001;7.3189799999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00534;P80162;CXCL6;0;Inflammation;v.3023;1362718174.csv;Pass;1.05339;7.3030400000000002;IPC Normalized
Sample Control2;9;CONTROL;OID00535;P02778;CXCL10;0;Inflammation;v.3023;1362718174.csv;Pass;1.4291;8.5575200000000002;IPC Normalized
Sample Control2;9;CONTROL;OID00536;Q13541;4E-BP1;0;Inflammation;v.3023;1362718174.csv;Pass;-0.53564000000000001;6.5076000000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00537;Q9NYY1;IL-20;0.15625;Inflammation;v.3023;1362718174.csv;Pass;0.17449000000000001;0.28795999999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00538;Q8IXJ6;SIRT2;0;Inflammation;v.3023;1362718174.csv;Pass;1.3910100000000001;3.1822300000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00539;Q9NRJ3;CCL28;0;Inflammation;v.3023;1362718174.csv;Pass;0.51137999999999995;1.30305;IPC Normalized
Sample Control2;9;CONTROL;OID01213;Q8NFT8;DNER;0;Inflammation;v.3023;1362718174.csv;Pass;0.37741000000000002;8.0812299999999997;IPC Normalized
Sample Control2;9;CONTROL;OID00541;P80511;EN-RAGE;0;Inflammation;v.3023;1362718174.csv;Pass;0.80910000000000004;1.4128799999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00542;P25942;CD40;0;Inflammation;v.3023;1362718174.csv;Pass;1.1812800000000001;10.124079999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00543;O95760;IL33;0.96875;Inflammation;v.3023;1362718174.csv;Pass;0.41610000000000003;-0.34433999999999998;IPC Normalized
Sample Control2;9;CONTROL;OID05547;P01579;IFN-gamma;0;Inflammation;v.3023;1362718174.csv;Pass;1.12774;4.1631299999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00545;O95750;FGF-19;0;Inflammation;v.3023;1362718174.csv;Pass;-0.44571;7.7025399999999999;IPC Normalized
Sample Control2;9;CONTROL;OID00546;P05112;IL4;0.84375;Inflammation;v.3023;1362718174.csv;Pass;1.50342;1.14761;IPC Normalized
Sample Control2;9;CONTROL;OID00547;P15018;LIF;0.75;Inflammation;v.3023;1362718174.csv;Pass;-0.13192999999999999;0.20366000000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00548;Q99748;NRTN;0.34375;Inflammation;v.3023;1362718174.csv;Pass;0.72333000000000003;0.74429000000000001;IPC Normalized
Sample Control2;9;CONTROL;OID00549;P80075;MCP-2;0;Inflammation;v.3023;1362718174.csv;Pass;1.4094;8.5726399999999998;IPC Normalized
Sample Control2;9;CONTROL;OID00550;Q14790;CASP-8;3.125E-2;Inflammation;v.3023;1362718174.csv;Pass;0.95730999999999999;1.5806100000000001;IPC Normalized
